id,title,latitude,longitude,depth,ocean,record_link,common_name,thumbnail,archetype,species
ld1-1643414028222-1643414083560-0,Bathyphasma ovigerum,52.6583,-132.633,2904,Pacific Ocean,http://n2t.net/ark:/65665/39fcb2f89-16f8-45e2-9332-5eb3906bc361,Deep-sea snailfish,http://n2t.net/ark:/65665/m354cfd86e-9eec-45b3-86d5-17fc2e6e35ef,Others,Eel-like Fish
ld1-1643414028222-1643414093509-0,Liparis osborni,35.3083,-121.47,805,Pacific Ocean,http://n2t.net/ark:/65665/31ba76493-ab71-403e-acf4-a8fbb50e841d,Osborn's snailfish,http://n2t.net/ark:/65665/m382178313-1cea-4e4e-8fe2-c35360d67ae1,Others,Eel-like Fish
ld1-1643414028222-1643414091104-0,Cataetyx platycephalus,0.6167,127.25,763,Pacific Ocean,http://n2t.net/ark:/65665/394be2b22-1226-4cbd-a4b9-18bc225edf85,Flathead brotula,http://n2t.net/ark:/65665/m37b77fd16-41e2-483b-9408-602ce66b68a6,Others,Others
ld1-1643414028222-1643414084302-1,Etmopterus villosus Gilbert,21.0236,-157.254,456,Pacific Ocean,http://n2t.net/ark:/65665/32846a73f-ba6b-4c75-974f-474d1320395a,Etmopterus fish,http://n2t.net/ark:/65665/m3ff7c8c45-f7af-4679-af60-039892f94742,Predator,Others
ld1-1643413067249-1643413071276-1,Priolepis eugenius,21.4745,-157.802,2,Pacific Ocean,http://n2t.net/ark:/65665/3203e77a2-40b0-451b-976d-ce80234452d2,Priolepis dragonet,https://collections.nmnh.si.edu/media/?i=12307295,Prey,Others
ld1-1643413067249-1643413084164-0,Aulostomus chinensis,-14.3139,-178.067,7,Pacific Ocean,http://n2t.net/ark:/65665/347650c8b-4245-43b5-8b6d-bdac6e83015b,Chinese trumpetfish,https://collections.nmnh.si.edu/media/?i=13316767,Predator,Pelagic Fish
ld1-1643413067249-1643413071104-0,Mulloidichthys flavolineatus,21.4346,-157.787,3,Pacific Ocean,http://n2t.net/ark:/65665/31153bc52-23ec-4398-adb7-387dedee6eca,Mulloidichthys fish,https://collections.nmnh.si.edu/media/?i=12307375,Prey,Others
ld1-1643413067249-1643413073384-0,Choeroichthys cinctus Dawson,13.6876,120.833,18,Pacific Ocean,http://n2t.net/ark:/65665/3f1053b6d-1994-4a29-8d3a-8f40c1b943d3,Choeroichthys goby,https://collections.nmnh.si.edu/media/?i=13002058,Others,Reef Fish
ld1-1643413067249-1643413084338-0,Hologymnosus doliatus,-14.3053,-178.156,10,Pacific Ocean,http://n2t.net/ark:/65665/3fb288493-f499-4f25-8823-0e35e93b68e8,Hologymnosus fish,https://collections.nmnh.si.edu/media/?i=13316669,Prey,Others
ld1-1643413067249-1643413084218-0,Scorpaenodes hirsutus,-14.3548,-178.053,14,Pacific Ocean,http://n2t.net/ark:/65665/3b70f7e7a-3a6d-4664-9698-588cd41c4c07,Scorpaenodes eel,https://collections.nmnh.si.edu/media/?i=13315551,Predator,Eel-like Fish
ld1-1643413067249-1643413084347-0,Zebrasoma scopas,-14.3129,-178.15,9,Pacific Ocean,http://n2t.net/ark:/65665/39fb8143d-dbaa-411e-b962-9a647f55e908,Zebrasoma blenny,https://collections.nmnh.si.edu/media/?i=13316544,Others,Reef Fish
ld1-1643413067249-1643413071137-1,Sufflamen bursa,21.466,-157.764,13,Pacific Ocean,http://n2t.net/ark:/65665/37f46476f-a781-4b07-ace4-d1bcfb9904bf,Boomerang triggerfish,https://collections.nmnh.si.edu/media/?i=12307418,Predator,Others
ld1-1643413067249-1643413071115-0,Zebrasoma flavescens,21.4346,-157.787,3,Pacific Ocean,http://n2t.net/ark:/65665/3149d126e-eabc-4347-91e9-cb0415697a02,Zebrasoma goby,https://collections.nmnh.si.edu/media/?i=12307368,Others,Reef Fish
ld1-1643413067249-1643413084389-0,Gnatholepis cauerensis,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3138b0c5b-ad98-4fce-811a-7986ed0305a0,Gnatholepis dragonet,https://collections.nmnh.si.edu/media/?i=13315150,Prey,Others
ld1-1643413067249-1643413084435-0,Sebastapistes cyanostigma,-14.3476,-178.074,5,Pacific Ocean,http://n2t.net/ark:/65665/3c285fd9b-87a0-4e41-9b4b-6e80d269a358,Sebastapistes wrasse,https://collections.nmnh.si.edu/media/?i=13315720,Predator,Reef Fish
ld1-1643413067249-1643413084330-0,Eviota albolineata Jewett & Lachner,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/3887cd89f-a746-49bf-8aa5-2ee48f3bf601,Eviota dragonet,https://collections.nmnh.si.edu/media/?i=13315173,Prey,Others
ld1-1643413067249-1643413070176-0,Lethrinus atkinsoni,-23.2229,-134.975,18,Pacific Ocean,http://n2t.net/ark:/65665/39facfb1b-7bac-4b85-b248-691abe6347ef,Lethrinus snapper,https://collections.nmnh.si.edu/media/?i=11949440,Predator,Pelagic Fish
ld1-1643413067249-1643413071266-1,Bathygobius cocosensis,21.415,-157.78,3,Pacific Ocean,http://n2t.net/ark:/65665/32a49369f-d40c-42a1-9ace-ed884f10d28d,Bathygobius eel,https://collections.nmnh.si.edu/media/?i=12307287,Prey,Eel-like Fish
ld1-1643413067249-1643413084262-0,Trimma preclarum,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/33c1a9e5c-5b90-490f-bbad-ec2ed4a44c35,Trimma wrasse,https://collections.nmnh.si.edu/media/?i=13315177,Prey,Reef Fish
ld1-1643413067249-1643413084181-1,Cantherhines pardalis,-14.2359,-178.174,8,Pacific Ocean,http://n2t.net/ark:/65665/3a676ddd2-4e0c-4df6-8dd2-df9cceb5fe24,Cantherhines goby,https://collections.nmnh.si.edu/media/?i=13316237,Others,Reef Fish
ld1-1643413067249-1643413071161-1,Gomphosus varius,21.4401,-157.792,3,Pacific Ocean,http://n2t.net/ark:/65665/3b1bca4e4-7bf1-4869-9de7-60226a37960b,Gomphosus wrasse,https://collections.nmnh.si.edu/media/?i=12307385,Prey,Reef Fish
ld1-1643413067249-1643413084186-0,Amblyeleotris fasciata,-14.2994,-178.161,12,Pacific Ocean,http://n2t.net/ark:/65665/37783444b-90ba-4402-a615-d73168cbf6c8,Amblyeleotris dragonet,https://collections.nmnh.si.edu/media/?i=13315137,Prey,Others
ld1-1649160276486-1649160326835-0,Squatina dumeril,36.2439,-75.0047,43,Atlantic Ocean,http://n2t.net/ark:/65665/33479c66f-c51a-4934-ab01-abcec79c3082,Squatina wrasse,https://collections.nmnh.si.edu/media/?i=15847636,Predator,Reef Fish
ld1-1643413067249-1643413084488-0,Scarus frenatus,-14.3317,-178.07,8,Pacific Ocean,http://n2t.net/ark:/65665/34298510b-92a5-484f-b390-004515ff33c8,Scarus goby,https://collections.nmnh.si.edu/media/?i=13316853,Others,Reef Fish
ld1-1643413067249-1643413073453-0,Istiophorus platypterus,18.2473,122.328,37,Pacific Ocean,http://n2t.net/ark:/65665/31be3fc89-142e-43ab-9711-0ecb768827e7,Sailfish,https://collections.nmnh.si.edu/media/?i=13002088,Predator,Pelagic Fish
ld1-1643413067249-1643413073172-1,Ostorhinchus aureus,13.6882,120.827,24,Pacific Ocean,http://n2t.net/ark:/65665/3e6ea9764-46b2-4244-945c-6cd2219774d6,Ostorhinchus blenny,https://collections.nmnh.si.edu/media/?i=13001965,Prey,Reef Fish
ld1-1643413067249-1643413070075-0,Diodon hystrix,-17.5027,-149.925,1.7,Pacific Ocean,http://n2t.net/ark:/65665/3f4729b6b-de8b-4c50-ac0e-46400202aa31,Diodon perch,https://collections.nmnh.si.edu/media/?i=11912289,Others,Others
ld1-1643413067249-1643413084425-1,Cercamia cladara Randall & Smith,-14.2958,-178.07,15,Pacific Ocean,http://n2t.net/ark:/65665/3ec4d3863-356c-406d-8664-11657b543b30,Cercamia wrasse,https://collections.nmnh.si.edu/media/?i=13315954,Prey,Reef Fish
ld1-1643413067249-1643413069741-0,Saloptia powelli,-17.4737,-149.847,115,Pacific Ocean,http://n2t.net/ark:/65665/3427276ea-3468-47eb-9025-0a20b84761b1,Saloptia perch,https://collections.nmnh.si.edu/media/?i=11912700,Predator,Others
ld1-1643413067249-1643413069672-0,Ostorhinchus taeniophorus,-17.4858,-149.762,2,Pacific Ocean,http://n2t.net/ark:/65665/319b6e2c6-0c90-4312-8f5e-7a56d46e76ec,Ostorhinchus fish,https://collections.nmnh.si.edu/media/?i=11912778,Prey,Others
